type,name,notice,furigana
燃やせないごみ ,かばん ,金具のついていないものは燃やせるごみ,か
燃やせないごみ ,花びん ,50センチメートルを超えるものは「大型ごみ」,か
燃やせるごみ ,壁紙 ,,か
古紙類 ,紙パック（飲料用） ,透明・半透明の袋に入れる,か
古紙類 ,紙箱,束ねて、ひもで十文字にしばる,か
古紙類 ,紙袋 ,束ねて、ひもで十文字にしばる,か
燃やせないごみ ,カラーコーン ,ごみとわかるように表記する,か
大型ごみ ,カラーボックス ,50センチメートル以下は燃やせないごみ,か
燃やせないごみ ,ガラス ,"50センチメートルを超えるもは大型ごみ
3枚まで1点",か
大型ごみ ,ガラス障子 ,ガラスが一部のものは3枚まで1点,か
大型ごみ ,ガラス戸 ,1枚で1点,か
古紙類 ,カレンダー ,金属部分は燃やせないごみ,か
処理困難物 ,瓦 ,市が収集処理できないもの ,か
かん ,缶（飲食料用） ,中を空にし、すすぐ（きれいにする）,か
燃やせないごみ ,缶（一斗かん） ,中を空にし、ふたをとる,か
燃やせないごみ ,缶（オイル） ,中を空にする,か
かん ,缶（お菓子） ,中を空にし、すすぐ（きれいにする）,か
かん ,缶（食用油） ,中を空にし、すすぐ（きれいにする）,か
かん ,缶（スプレーかん） ,中身を使い切り、火の気のない風通しの良いところで穴をあけるなど、必ずガス抜きをする,か
燃やせないごみ ,缶（ペンキ） ,中を空にする,か
木材欄を参照,木,,き
大型ごみ,キーボード,"台も含む
50センチメートル以下は燃やせないごみ",き
燃やせないごみ,ギター,大きさにかかわらず燃やせないごみ ,き
大型ごみ,ギターアンプ,50センチメートル以下は燃やせないごみ,き
燃やせないごみ,ギターケース,50センチメートルを超えるものは大型ごみ,き
燃やせないごみ,キックボード,"50センチメートルを超えるものは大型ごみ
電動式の場合、バッテリーは処理困難物
エンジン式は処理困難物",き
大型ごみ,杵,50センチメートル以下は燃やせないごみ,き
大型ごみ,脚立,50センチメートル以下は燃やせないごみ,き
燃やせないごみ,キャップ（金属製のふた）,,き
プラスチック製容器包装類,キャップ（プラスチック製のふた）,プラマークがなければ燃やせるごみ　,き
大型ごみ,キャンバス,"3枚まで1点
50センチメートル以下は燃やせないごみ",き
特定粗大ごみ,給湯器（台所用）,"点火装置が危険なため　　電池は取り外す
50センチメートルを超えるものは大型ごみ",き
特定大型ごみ,鏡台,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",き
燃やせないごみ,切り株,長さ50センチメートル以下のもの,き
大型ごみ,切り株,長さ50センチメートルを超え2メートル未満のもの,き
処理困難物,切り株,幹の切断面が直径20センチメートルを超えるもの,き
処理困難物,金庫（耐火）,市が収集処理できないもの,き
燃やせないごみ,金庫（手提げ）,50センチメートルを超えるものは大型ごみ,き
燃やせないごみ,空気入れ,,く
大型ごみ,空気清浄機,50センチメートル以下は燃やせないごみ,く
燃やせないごみ,クーラーボックス,50センチメートルを超えるものは大型ごみ,く
大型ごみ,草刈機,"50センチメートル以下は燃やせないごみ
エンジン式は処理困難物",く
燃やせるごみ,くつ・履き物,"皮革製品のくつ・履き物も同様の扱い
スキーぐつ・スケートぐつは燃やせないごみ　",く
燃やせるごみ,クッション,,く
大型ごみ,車椅子（手動式）,,く
処理困難物,車椅子（電動式）,市が収集処理できないもの,く
燃やせるごみ,車のカバー,折りたたむ,く
処理困難物,車の部品,市が収集処理できないもの,く
大型ごみ,,"カーキャリアやカーオーディオなど自分で後から取り付けるもの
50センチメートル以下は燃やせないごみ",く
特定大型ごみ,クローゼット,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",く
燃やせないごみ,くわ,50センチメートルを超えるものは大型ごみ,く
燃やせないごみ,蛍光灯,"長さ140センチメートル以下のもの
袋または購入時の箱などに入れる",け
大型ごみ,,"長さ140センチメートルを超えるもの　　3本まで1点
袋または購入時の箱などに入れる",け
燃やせないごみ,携帯電話,なるべく販売店などへ返却する,け
燃やせないごみ,ゲーム機（本体）,50センチメートルを超えるものは大型ごみ,け
燃やせるごみ,ゲームソフト,ケースも含む,け
かん,化粧品（スプレーかん）,中身を使い切り、火の気のない風通しの良いところで穴をあけるなど、必ずガス抜きをする,け
